City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
97,hithadhoo,84,MV,1568687740,71,-0.6,73.08,83.28,7.45
98,panguipulli,75,CL,1568687740,87,-39.64,-72.33,44.6,3.36
99,bawku,62,GH,1568687740,88,11.06,-0.24,74.82,5.41
100,medicine hat,75,CA,1568687740,59,50.04,-110.68,66.2,4.7
101,ahuimanu,75,US,1568687741,70,21.44,-157.84,86.0,8.05
102,maxixe,0,MZ,1568687741,95,-23.86,35.35,62.04,4.41
103,tocopilla,50,CL,1568687741,84,-22.09,-70.2,57.54,14.92
104,segovia,0,ES,1568687742,88,40.95,-4.12,66.0,3.36
105,faanui,2,PF,1568687742,79,-16.48,-151.75,78.06,13.33
106,sur,75,OM,1568687742,56,22.57,59.53,81.48,5.99
107,lerwick,67,GB,1568687743,70,60.15,-1.15,48.2,31.09
108,vestmannaeyjar,72,IS,1568687743,80,63.44,-20.27,44.22,10.22
109,barrow,0,AR,1568687743,44,-38.31,-60.23,43.32,10.13
110,kamenka,100,MD,1568687743,91,48.03,28.7,53.01,8.14
111,necochea,0,AR,1568687743,81,-38.55,-58.74,37.99,1.99
112,cayenne,0,GF,1568687744,88,4.94,-52.33,80.6,2.24
113,nikolskoye,75,RU,1568687744,93,59.7,30.79,45.0,4.47
114,puerto leguizamo,25,CO,1568687744,76,-0.19,-74.78,75.9,0.83
115,powell river,90,CA,1568687459,82,49.84,-124.52,59.0,10.29
116,kaitangata,67,NZ,1568687745,61,-46.28,169.85,44.01,11.99
117,qaanaaq,92,GL,1568687745,46,77.48,-69.36,20.28,6.13
118,vaini,75,IN,1568687745,94,15.34,74.49,71.6,3.36
119,bethel,40,US,1568687745,71,60.79,-161.76,57.2,9.17
120,davila,90,PH,1568687745,79,18.47,120.58,84.2,2.24
121,camacha,0,PT,1568687746,82,33.08,-16.33,71.6,8.05
122,tiksi,0,RU,1568687746,68,71.64,128.87,40.26,2.28
123,yaan,100,NG,1568687746,97,7.38,8.57,73.38,3.96
124,bluff,0,AU,1568687746,21,-23.58,149.07,83.1,8.68
125,chuy,0,UY,1568687747,74,-33.69,-53.46,47.82,5.17
126,poso,17,ID,1568687573,50,-1.4,120.75,79.86,3.44
127,nuqui,96,CO,1568687747,86,5.71,-77.27,77.34,4.38
128,arua,77,UG,1568687747,95,3.02,30.91,59.88,1.59
129,conde,29,BR,1568687608,97,-11.81,-37.61,66.0,1.7
130,karasjok,100,NO,1568687748,93,69.47,25.52,42.8,16.11
131,deputatskiy,3,RU,1568687748,70,69.3,139.9,44.04,5.77
132,takoradi,32,GH,1568687748,96,4.89,-1.75,73.38,2.84
133,bull savanna,8,JM,1568687748,76,17.89,-77.59,83.28,6.49
134,oda,75,JP,1568687748,61,35.19,132.5,78.8,18.34
